Name,Type,Description,Latitude,Longitude,Capacity,IO
Antic Cami Ral,secondary,Antic Cami Ral 412,42.501666,1.512793,1,42.501666 1.512793 48
Centre Historic,secondary,Centre Historic Tunel,42.50588,1.520933,1,42.50588 1.520933 98|42.50601 1.520646 97
Fener 1,secondary,Unio Fener 1 301,42.507489,1.534038,105,42.507489 1.534038 82|42.506804 1.532918 85
Fener 2,secondary,DR Fener 2 304,42.506608,1.532907,245,42.506608 1.532907 81
Parc Central,secondary,Esquerra 201,42.506952,1.52858,2250,42.506952 1.52858 25|42.505888 1.526898 27|42.507015 1.527697 45
Prada Casadet,secondary,601,42.505621,1.521911,1,42.505621 1.521911 88
Prat de la Creu,secondary,Esquerra PDLC 101,42.506706,1.522962,799,42.506706 1.522962 21|42.50758 1.522547 24|42.506552 1.522508 42
Serradells,secondary,Serradells 502,42.499912,1.518272,1,42.499912 1.518272 20
Trilla,secondary,701 Esq Trilla,42.508719,1.525645,700,42.508719 1.525645 94|42.508837 1.526362 95
